str,en_US,ru_RU,kk_KZ
phone_verification_body,"ShopQ will verify your phone number. Note that phone number should be on this device in order to be verified. Enter your country code and phone number:","",""
home,"Home","",""
authenticate,"Authenticate","",""
authentication,"Authentication","",""
phone_number,"Phone number","",""
search_shops,"Search shops","",""
login_as_a_shop,"Log In as a shop","",""
choose_your_location,"Choose your location","",""
open,"Open","",""
closed,"Closed","",""
closes_in,"Closes in {} minutes","",""
cant_order,"Sorry, but you can't order one hour before the shop's closing time","",""
not_open,"Sorry, shop is closed now","",""
choose_time,"Choose time:","",""
write_products_list,"Write products list:","",""
stand_in_queue,"Stand in queue","",""
enter_your_products,"Just write what you need :D","",""
order_instructions,"Choose the most convenient time for you and write a list of products that you need. After that, if the shop has all of the products on the list, the administrator will confirm that and you will see it on your app. If something is missing, administrator will contact you. You will see QR code on your screen, which you have to use when you get to the shop to claim and pay for your products.\nThings to keep in mind: \n 1) You can't order one hour before the store is closing\n 2) You can grab your products in the period of 15 minutes from your chosen time\n 3) Be safe :)","",""
shouldnt_be_empty,"Shouldn't be empty","",""
error,"Error","",""
choose_time_error,"You should choose time","",""
no_free_scape_error,"At that time the shop is full. Please, choose another time","",""
loading,"Loading...","",""
remove_from_queue,"Remove from queue","",""
remove,"Remove","",""
remove_warning,"Are sure that you want to be removed from the queue?","",""
cancel,"Cancel","",""
qr_screen,"QR code","",""
places,"Places","",""
geolocation_should_be_turned_on,"Geolocation should be turned on","",""
change_location,"Change location","",""
logout,"Log out","",""
login,"Log in","",""
create_account,"Create account","",""
enter_your_iin,"Enter your URN","",""
enter_your_password,"Enter your password","",""
reenter_your_password,"Re-enter your password","",""
enter_your_email,"Enter your email","",""
enter_your_bin,"Enter your BRN","",""
nur-sultan,"Nur-Sultan","Нур-Султан","Нур-Сұлтан"
almaty,"Almaty,"Алматы","Алматы"
oskemen,"Oskemen","Усть-Каменогорск","Өскемен"
kostanay,"Kostanay","Костанай","Қостанай"
pavlodar,"Pavlodar","Павлодар","Павлодар"
petropavlovsk,"Petropavlovsk","Петропавловск","Петропавловск"
karaganda,"Karaganda","Караганда","Қарағанды"
kokshetau,"Koshetau","Кокшетау","Көкшетау"
taraz,"Taraz","Тараз","Тараз"
shymkent,"Shymkent","Чимкент","Шымкент"
oral,"Oral","Уральск","Орал"
aktau,"Aktau","Актау","Ақтау"
atyrau,"Atyrau","Атырау","Атырау"
aktobe,"Aktobe","Актобе","Ақтөбе"
no_email_in_business,"You are not registered as a worker in the shop","",""
no_business_in_database,"The shop isn't registered in the database","",""
order,"Orders","",""
number_is_being_verified,"Number is being verified","",""
phone_number_should_be_on_this_device,"Note: phone number should be on this device","",""
